Zone,Species,Time,ImageDate,SetVisitDate
183,Swift Fox,0.168,5/31/2020 4:02,5/24/2020
183,Swift Fox,0.207,7/29/2018 4:58,7/17/2018
183,Swift Fox,0.257,7/25/2018 6:10,7/17/2018
183,Swift Fox,0.285,6/14/2020 6:50,5/24/2020
183,Swift Fox,0.285,6/14/2020 6:50,5/24/2020
183,Swift Fox,0.298,7/25/2018 7:09,7/17/2018
183,Swift Fox,0.299,7/25/2018 7:10,7/17/2018
183,Swift Fox,0.318,8/6/2018 7:38,7/17/2018
183,Swift Fox,0.372,7/26/2018 8:55,7/17/2018
183,Swift Fox,0.442,7/27/2018 10:37,7/17/2018
183,Swift Fox,0.815,7/28/2018 19:34,7/17/2018
183,Swift Fox,0.895,7/21/2018 21:29,7/17/2018
183,Swift Fox,0.913,8/1/2018 21:55,7/17/2018
183,Swift Fox,0.923,8/2/2018 22:09,7/17/2018
183,Swift Fox,0.939,7/19/2018 22:32,7/17/2018
183,Swift Fox,0.979,7/21/2018 23:30,7/17/2018
183,Swift Fox,0.99,7/20/2018 23:46,7/17/2018
186,Swift Fox,0.266,7/9/2018 6:23,6/13/2018
186,Swift Fox,0.431,7/9/2018 10:20,6/13/2018
187,Swift Fox,0.003,9/3/2018 0:05,8/28/2018
187,Swift Fox,0.032,8/29/2018 0:46,8/28/2018
187,Swift Fox,0.033,8/30/2018 0:47,8/28/2018
187,Swift Fox,0.042,8/28/2018 1:00,8/28/2018
187,Swift Fox,0.042,8/28/2018 1:00,8/28/2018
187,Swift Fox,0.042,8/28/2018 1:00,8/28/2018
187,Swift Fox,0.047,9/7/2018 1:08,8/28/2018
187,Swift Fox,0.162,9/2/2018 3:53,8/28/2018
187,Swift Fox,0.282,8/29/2018 6:46,8/28/2018
187,Swift Fox,0.282,8/29/2018 6:46,8/28/2018
187,Swift Fox,0.911,8/28/2018 21:52,8/28/2018
187,Swift Fox,0.917,9/4/2018 22:00,8/28/2018
187,Swift Fox,0.94,9/4/2018 22:34,8/28/2018
187,Swift Fox,0.951,8/30/2018 22:50,8/28/2018
187,Swift Fox,0.952,8/30/2018 22:51,8/28/2018
187,Swift Fox,0.963,9/3/2018 23:06,8/28/2018
187,Swift Fox,0.996,9/2/2018 23:54,8/28/2018
187,Swift Fox,0.996,9/2/2018 23:54,8/28/2018
191,Swift Fox,0.063,8/20/2018 1:31,8/6/2018
191,Swift Fox,0.064,8/20/2018 1:32,8/6/2018
191,Swift Fox,0.064,8/20/2018 1:32,8/6/2018
202,Swift Fox,0.006,7/27/2019 0:09,7/11/2019
202,Swift Fox,0.036,7/19/2020 0:52,7/15/2020
202,Swift Fox,0.038,7/19/2020 0:55,7/15/2020
202,Swift Fox,0.051,7/29/2020 1:14,7/15/2020
202,Swift Fox,0.062,7/16/2020 1:29,7/15/2020
202,Swift Fox,0.083,7/31/2020 1:59,7/15/2020
202,Swift Fox,0.213,7/20/2020 5:07,7/15/2020
202,Swift Fox,0.934,7/21/2020 22:25,7/15/2020
202,Swift Fox,0.973,7/30/2019 23:21,7/11/2019
206,Swift Fox,0.022,7/24/2020 0:31,7/6/2020
206,Swift Fox,0.023,7/23/2020 0:33,7/6/2020
206,Swift Fox,0.026,8/3/2018 0:37,7/17/2018
206,Swift Fox,0.041,8/4/2018 0:59,7/17/2018
206,Swift Fox,0.044,8/4/2018 1:03,7/17/2018
206,Swift Fox,0.046,7/7/2020 1:06,7/6/2020
206,Swift Fox,0.048,7/24/2020 1:09,7/6/2020
206,Swift Fox,0.078,7/23/2020 1:52,7/6/2020
206,Swift Fox,0.084,7/12/2020 2:01,7/6/2020
206,Swift Fox,0.09,7/12/2020 2:09,7/6/2020
206,Swift Fox,0.101,7/24/2020 2:26,7/6/2020
206,Swift Fox,0.114,7/30/2020 2:44,7/6/2020
206,Swift Fox,0.115,7/30/2020 2:45,7/6/2020
206,Swift Fox,0.117,8/3/2018 2:48,7/17/2018
206,Swift Fox,0.123,7/23/2020 2:57,7/6/2020
206,Swift Fox,0.125,8/4/2018 3:00,7/17/2018
206,Swift Fox,0.142,7/7/2020 3:24,7/6/2020
206,Swift Fox,0.142,7/7/2020 3:25,7/6/2020
206,Swift Fox,0.163,8/2/2018 3:55,7/17/2018
206,Swift Fox,0.18,8/2/2018 4:19,7/17/2018
206,Swift Fox,0.195,7/17/2020 4:41,7/6/2020
206,Swift Fox,0.202,8/3/2018 4:51,7/17/2018
206,Swift Fox,0.251,8/3/2018 6:02,7/17/2018
206,Swift Fox,0.258,7/30/2020 6:11,7/6/2020
206,Swift Fox,0.916,7/19/2020 21:59,7/6/2020
206,Swift Fox,0.924,7/13/2020 22:10,7/6/2020
206,Swift Fox,0.944,7/24/2020 22:39,7/6/2020
206,Swift Fox,0.956,7/25/2020 22:56,7/6/2020
206,Swift Fox,0.959,7/16/2020 23:01,7/6/2020
216,Swift Fox,0,7/4/2019,6/27/2019
216,Swift Fox,0.183,8/8/2020 4:24,7/11/2020
216,Swift Fox,0.184,8/8/2020 4:25,7/11/2020
216,Swift Fox,0.445,8/14/2018 10:41,7/19/2018
216,Swift Fox,0.675,8/13/2018 16:12,7/19/2018
216,Swift Fox,0.69,8/5/2018 16:33,7/19/2018
216,Swift Fox,0.739,7/23/2018 17:44,7/19/2018
223,Swift Fox,0.974,9/6/2018 23:22,8/21/2018
223,Swift Fox,0.974,9/6/2018 23:22,8/21/2018
231,Swift Fox,0.114,6/27/2019 2:44,6/18/2019
232,Swift Fox,0.156,6/7/2018 3:44,5/15/2018
232,Swift Fox,0.434,5/15/2018 10:25,5/15/2018
235,Swift Fox,0.053,6/25/2018 1:17,5/31/2018
235,Swift Fox,0.17,6/14/2018 4:05,5/31/2018
245,Swift Fox,0.018,5/30/2020 0:26,5/19/2020
257,Swift Fox,0.124,8/3/2020 2:58,7/20/2020
257,Swift Fox,0.781,9/9/2018 18:44,8/21/2018
257,Swift Fox,0.892,7/29/2020 21:25,7/20/2020
257,Swift Fox,0.906,8/5/2020 21:45,7/20/2020
257,Swift Fox,0.915,8/11/2020 21:57,7/20/2020
257,Swift Fox,0.968,8/2/2020 23:14,7/20/2020
278,Swift Fox,0.171,8/12/2018 4:06,7/17/2018
278,Swift Fox,0.172,8/12/2018 4:07,7/17/2018
278,Swift Fox,0.182,7/19/2018 4:22,7/17/2018
283,Swift Fox,0.042,5/24/2020 1:00,5/23/2020
286,Swift Fox,0.067,6/3/2019 1:37,6/1/2019
286,Swift Fox,0.095,6/4/2019 2:17,6/1/2019
286,Swift Fox,0.174,6/3/2019 4:11,6/1/2019
286,Swift Fox,0.21,6/8/2019 5:02,6/1/2019
287,Swift Fox,0.063,6/21/2019 1:30,6/6/2019
294,Swift Fox,0.032,7/13/2020 0:46,7/11/2020
296,Swift Fox,0.048,7/30/2020 1:09,7/16/2020
296,Swift Fox,0.152,7/26/2020 3:39,7/16/2020
296,Swift Fox,0.153,7/26/2020 3:40,7/16/2020
296,Swift Fox,0.214,7/20/2020 5:08,7/16/2020
296,Swift Fox,0.234,7/18/2020 5:37,7/16/2020
303,Swift Fox,0.031,5/22/2020 0:44,5/20/2020
303,Swift Fox,0.088,5/27/2020 2:07,5/20/2020
303,Swift Fox,0.099,7/25/2018 2:23,7/9/2018
303,Swift Fox,0.1,7/25/2018 2:24,7/9/2018
303,Swift Fox,0.153,5/27/2020 3:41,5/20/2020
303,Swift Fox,0.228,5/26/2020 5:29,5/20/2020
303,Swift Fox,0.23,7/25/2018 5:31,7/9/2018
303,Swift Fox,0.233,7/29/2018 5:36,7/9/2018
303,Swift Fox,0.239,5/27/2020 5:44,5/20/2020
303,Swift Fox,0.239,5/28/2020 5:44,5/20/2020
303,Swift Fox,0.962,7/29/2018 23:05,7/9/2018
303,Swift Fox,0.999,8/1/2018 23:59,7/9/2018
304,Swift Fox,0.04,9/9/2018 0:58,8/23/2018
304,Swift Fox,0.041,9/9/2018 0:59,8/23/2018
304,Swift Fox,0.174,8/7/2020 4:11,7/17/2020
304,Swift Fox,0.185,8/12/2020 4:27,7/17/2020
304,Swift Fox,0.247,9/7/2018 5:56,8/23/2018
304,Swift Fox,0.339,8/4/2020 8:08,7/17/2020
313,Swift Fox,0.039,8/30/2018 0:56,8/17/2018
313,Swift Fox,0.04,8/30/2018 0:58,8/17/2018
313,Swift Fox,0.04,8/30/2018 0:58,8/17/2018
313,Swift Fox,0.06,9/6/2018 1:27,8/17/2018
313,Swift Fox,0.084,9/7/2018 2:01,8/17/2018
313,Swift Fox,0.109,9/6/2018 2:37,8/17/2018
313,Swift Fox,0.178,9/14/2018 4:16,8/17/2018
313,Swift Fox,0.2,9/14/2018 4:48,8/17/2018
313,Swift Fox,0.215,8/24/2018 5:09,8/17/2018
313,Swift Fox,0.233,9/14/2018 5:36,8/17/2018
313,Swift Fox,0.883,9/9/2018 21:11,8/17/2018
313,Swift Fox,0.896,9/12/2018 21:30,8/17/2018
313,Swift Fox,0.912,8/31/2018 21:53,8/17/2018
313,Swift Fox,0.938,8/31/2018 22:31,8/17/2018
313,Swift Fox,0.938,8/31/2018 22:31,8/17/2018
313,Swift Fox,0.939,8/31/2018 22:32,8/17/2018
313,Swift Fox,0.944,9/10/2018 22:39,8/17/2018
313,Swift Fox,0.951,8/30/2018 22:49,8/17/2018
313,Swift Fox,0.972,9/10/2018 23:19,8/17/2018
313,Swift Fox,0.992,9/5/2018 23:49,8/17/2018
313,Swift Fox,0.993,9/5/2018 23:50,8/17/2018
313,Swift Fox,0.993,9/5/2018 23:50,8/17/2018
313,Swift Fox,0.996,9/13/2018 23:54,8/17/2018
315,Swift Fox,0.046,9/2/2019 1:06,8/29/2019
319,Swift Fox,0.028,6/3/2019 0:40,5/25/2019
319,Swift Fox,0.031,6/1/2019 0:45,5/25/2019
341,Swift Fox,0.015,7/22/2018 0:21,7/18/2018
341,Swift Fox,0.024,7/22/2018 0:35,7/18/2018
341,Swift Fox,0.073,7/21/2018 1:45,7/18/2018
341,Swift Fox,0.188,7/21/2018 4:30,7/18/2018
347,Swift Fox,0.033,9/3/2020 0:48,8/24/2020
347,Swift Fox,0.049,9/3/2020 1:10,8/24/2020
347,Swift Fox,0.049,9/3/2020 1:11,8/24/2020
347,Swift Fox,0.059,8/31/2020 1:25,8/24/2020
347,Swift Fox,0.119,8/30/2020 2:52,8/24/2020
347,Swift Fox,0.192,8/26/2020 4:36,8/24/2020
347,Swift Fox,0.24,9/6/2020 5:46,8/24/2020
347,Swift Fox,0.24,9/6/2020 5:46,8/24/2020
347,Swift Fox,0.879,9/1/2020 21:06,8/24/2020
347,Swift Fox,0.879,9/1/2020 21:06,8/24/2020
347,Swift Fox,0.891,8/31/2020 21:23,8/24/2020
347,Swift Fox,0.893,8/29/2020 21:26,8/24/2020
347,Swift Fox,0.893,8/29/2020 21:26,8/24/2020
347,Swift Fox,0.894,8/29/2020 21:27,8/24/2020
347,Swift Fox,0.903,9/4/2020 21:40,8/24/2020
347,Swift Fox,0.903,8/29/2020 21:40,8/24/2020
347,Swift Fox,0.91,8/30/2020 21:50,8/24/2020
347,Swift Fox,0.919,9/5/2020 22:04,8/24/2020
347,Swift Fox,0.922,9/6/2020 22:08,8/24/2020
347,Swift Fox,0.923,9/6/2020 22:09,8/24/2020
347,Swift Fox,0.982,9/3/2020 23:34,8/24/2020
347,Swift Fox,0.982,9/3/2020 23:34,8/24/2020
354,Swift Fox,0.012,7/29/2018 0:17,7/17/2018
354,Swift Fox,0.013,7/29/2018 0:18,7/17/2018
354,Swift Fox,0.022,7/29/2018 0:32,7/17/2018
354,Swift Fox,0.022,7/28/2018 0:32,7/17/2018
354,Swift Fox,0.255,7/29/2018 6:07,7/17/2018
354,Swift Fox,0.926,8/6/2018 22:14,7/17/2018
354,Swift Fox,0.947,7/27/2018 22:44,7/17/2018
354,Swift Fox,0.962,7/27/2018 23:05,7/17/2018
360,Swift Fox,0.241,9/13/2018 5:47,8/20/2018
368,Swift Fox,0.133,5/27/2020 3:11,5/23/2020
368,Swift Fox,0.235,5/31/2020 5:39,5/23/2020
369,Swift Fox,0.976,9/18/2020 23:26,7/22/2020
380,Swift Fox,0.099,10/5/2018 2:23,10/2/2018
382,Swift Fox,0.151,7/28/2019 3:38,7/9/2019
382,Swift Fox,0.944,7/26/2019 22:40,7/9/2019
384,Swift Fox,0.007,10/24/2018 0:10,10/4/2018
384,Swift Fox,0.104,10/6/2018 2:30,10/4/2018
384,Swift Fox,0.283,10/30/2018 6:48,10/4/2018
384,Swift Fox,0.818,10/20/2018 19:38,10/4/2018
384,Swift Fox,0.819,10/17/2018 19:40,10/4/2018
384,Swift Fox,0.827,10/13/2018 19:51,10/4/2018
384,Swift Fox,0.864,10/21/2018 20:44,10/4/2018
384,Swift Fox,0.888,10/21/2018 21:18,10/4/2018
384,Swift Fox,0.953,10/6/2018 22:52,10/4/2018
386,Swift Fox,0.857,10/6/2018 20:34,10/3/2018
386,Swift Fox,0.857,10/6/2018 20:34,10/3/2018
387,Swift Fox,0.231,8/6/2020 5:33,7/21/2020
390,Swift Fox,0.833,10/6/2018 19:59,10/5/2018
390,Swift Fox,0.876,10/9/2018 21:02,10/5/2018
390,Swift Fox,0.881,10/5/2018 21:09,10/5/2018
390,Swift Fox,0.913,10/5/2018 21:55,10/5/2018
390,Swift Fox,0.951,10/5/2018 22:49,10/5/2018
391,Swift Fox,0.015,10/29/2018 0:22,10/5/2018
391,Swift Fox,0.045,6/10/2020 1:05,5/21/2020
391,Swift Fox,0.081,10/30/2018 1:57,10/5/2018
391,Swift Fox,0.225,10/17/2018 5:24,10/5/2018
391,Swift Fox,0.226,10/17/2018 5:25,10/5/2018
391,Swift Fox,0.226,10/17/2018 5:25,10/5/2018
391,Swift Fox,0.226,10/17/2018 5:25,10/5/2018
391,Swift Fox,0.226,10/17/2018 5:25,10/5/2018
391,Swift Fox,0.249,10/29/2018 5:58,10/5/2018
391,Swift Fox,0.835,10/23/2018 20:03,10/5/2018
391,Swift Fox,0.837,10/23/2018 20:05,10/5/2018
391,Swift Fox,0.856,10/19/2018 20:32,10/5/2018
391,Swift Fox,0.856,10/19/2018 20:32,10/5/2018
391,Swift Fox,0.874,10/20/2018 20:59,10/5/2018
391,Swift Fox,0.874,10/20/2018 20:59,10/5/2018
391,Swift Fox,0.874,10/20/2018 20:59,10/5/2018
391,Swift Fox,0.874,10/20/2018 20:59,10/5/2018
391,Swift Fox,0.875,10/20/2018 21:00,10/5/2018
391,Swift Fox,0.875,10/20/2018 21:00,10/5/2018
391,Swift Fox,0.875,10/20/2018 21:00,10/5/2018
391,Swift Fox,0.875,10/20/2018 21:00,10/5/2018
391,Swift Fox,0.895,10/27/2018 21:29,10/5/2018
391,Swift Fox,0.895,10/27/2018 21:29,10/5/2018
391,Swift Fox,0.93,10/18/2018 22:19,10/5/2018
391,Swift Fox,0.965,10/23/2018 23:09,10/5/2018
391,Swift Fox,0.965,10/23/2018 23:09,10/5/2018
392,Swift Fox,0.976,10/5/2018 23:26,10/5/2018
393,Swift Fox,0.619,10/20/2018 14:51,10/5/2018
393,Swift Fox,0.924,10/6/2018 22:11,10/5/2018
